freq,B,C,D-1,D-2
1325.821,91.8877,99.1107,89.3315,88.4447
1326.785,91.3338,99.2032,89.3335,88.6978
1327.75,90.7254,99.265,89.6519,89.2738
1328.714,90.0665,99.3025,90.2631,90.1247
1329.678,89.3698,99.3241,91.1139,91.178
1330.642,88.6582,99.3377,92.1289,92.3458
1331.606,87.9633,99.3487,93.2219,93.5386
1332.571,87.3212,99.3592,94.31,94.6778
1333.535,86.7665,99.3684,95.3253,95.7051
1334.499,86.3268,99.3738,96.2217,96.5865
1335.463,86.0184,99.3735,96.9771,97.3114
1336.428,85.8428,99.3672,97.5902,97.8883
1337.392,85.7862,99.3571,98.0755,98.3383
1338.356,85.8199,99.3465,98.4559,98.688
1339.32,85.9047,99.3387,98.755,98.9616
1340.285,85.9972,99.3348,98.9911,99.177
1341.249,86.057,99.3337,99.1758,99.3444
1342.213,86.0506,99.3329,99.316,99.4696
1343.177,85.9528,99.3298,99.4176,99.5581
