freq,B2-1,B2-2,C
1445.386,89.8498,93.2549,97.057
1446.35,89.8523,93.286,96.9543
1447.314,90.0359,93.4404,96.9879
1448.279,90.376,93.699,97.1594
1449.243,90.826,94.0279,97.4386
1450.207,91.3341,94.3909,97.7756
1451.171,91.862,94.7617,98.119
1452.136,92.3961,95.1312,98.43
1453.1,92.948,95.5077,98.6867
1454.064,93.5482,95.9114,98.8823
1455.028,94.2295,96.3646,99.0208
1455.993,95.0039,96.8754,99.1124
1456.957,95.8373,97.4216,99.1699
1457.921,96.6507,97.9523,99.2044
1458.885,97.3599,98.4134,99.2235
1459.849,97.9217,98.7775,99.2319
1460.814,98.3454,99.0512,99.2337
1461.778,98.6695,99.2597,99.2322
1462.742,98.9342,99.4293,99.2306
1463.706,99.1662,99.5775,99.2302
1464.671,99.3756,99.7109,99.2305
1465.635,99.5606,99.8286,99.2289
1466.599,99.7164,99.9275,99.2225
1467.563,99.8417,100.0067,99.2095
1468.528,99.9418,100.0696,99.1905
1469.492,100.0264,100.1224,99.1681
1470.456,100.1049,100.1709,99.146
1471.42,100.1827,100.2183,99.1276
1472.385,100.259,100.2637,99.1144
1473.349,100.3265,100.3022,99.1055
1474.313,100.374,100.3269,99.0987
1475.277,100.3924,100.333,99.0923
1476.241,100.3806,100.3207,99.0866
1477.206,100.347,100.2959,99.0834
1478.17,100.3038,100.2666,99.0838
1479.134,100.2614,100.239,99.087
